"Ano base","UF","Classe Substância","Substância Mineral","Quantidade Produção - Minério ROM (t)","Quantidade Contido","Unidade de Medida - Contido","Indicação Contido","Quantidade Venda (t)","Valor Venda (R$)","Quantidade Transformação / Consumo / Utilização (t)","Valor Transformação / Consumo / Utilização nesta mina (R$)","Quantidade Transferência para Transformação / Utilização / Consumo (t)","Valor Transferência para Transformação / Utilização / Consumo (R$)"
"2010","BA","Não-Metálicos","Saibro","99983,600000",",000000000000000","-","","74466,5","510494,21999999997",",000000",",000000",",000000",",000000"
"2010","BA","Não-Metálicos","Rochas Ornamentais","171429,770000",",000000000000000","-","","136283,35000000001","34119734,809999995",",000000",",000000","21313,340000","1512073,990000"
"2010","BA","Não-Metálicos","Talco e outras Cargas Minerais","159566,070000",",000000000000000","-","","242","62349",",000000",",000000","45551,990000","15726840,250000"
"2010","BA","Metálicos","Manganês","29358,000000","10980,800000000000000","t","Mn","0","0",",000000",",000000","21549,530000","1942650,700000"
"2010","BA","Metálicos","Ouro","3274683,000000","6399,663310000000000","kg","Au","0","0",",000000",",000000",",000000",",000000"
"2010","BA","Não-Metálicos","Rochas Ornamentais - Outras","5681,950000",",000000000000000","-","","1964,8299999999999","991848,83000000007",",000000",",000000","3148,900000","1910231,650000"
"2010","CE","Não-Metálicos","Rochas Ornamentais","52989,210000",",000000000000000","-","","53515,689999999995","17169668,439999998",",000000",",000000","3953,020000","491881,600000"
"2010","CE","Metálicos","Manganês","4000,000000","1040,000000000000000","t","Mn","0","0",",000000",",000000",",000000",",000000"
"2010","CE","Não-Metálicos","Calcário","3232999,770000",",000000000000000","-","","462651,87","3552919,46","214432,990000","3183498,140000","390992,950000","4455846,500000"
"2010","CE","Gemas e Diamantes","Gemas",",000000",",000000000000000","kg","","0","0",",000000",",000000",",000000",",000000"
"2010","CE","Não-Metálicos","Argilas","1950747,500000",",000000000000000","-","","178484,26999999999","2169519,6299999999","676209,480000","2410210,210000","1072458,950000","4926583,460000"
"2010","CE","Não-Metálicos","Fosfato",",000000",",000000000000000","t","P2O5","0","0",",000000",",000000",",000000",",000000"
"2010","CE","Energéticos","Urânio e outros Radioativos",",000000",",000000000000000","t","","0","0",",000000",",000000",",000000",",000000"
"2010","CE","Metálicos","Ferro","55331,960000","27873,300000000000000","t","Fe","53836,599999999999","3088033,9700000002",",000000",",000000","1495,360000","37384,000000"
"2010","CE","Não-Metálicos","Areia","1376405,550000",",000000000000000","-","","1185247,6099999999","7467448,7599999988",",000000",",000000","200049,060000","384536,840000"
"2010","CE","Não-Metálicos","Areias Industriais","194508,520000",",000000000000000","-","","0","0","150,000000","12000,000000","100,000000","12000,000000"
"2010","CE","Não-Metálicos","Rochas (Britadas) e Cascalho","3559542,500000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","CE","Não-Metálicos","Rochas Ornamentais - Outras","82458,080000",",000000000000000","-","","82380,98000000001","5353748,4199999999",",000000",",000000",",000000",",000000"
"2010","CE","Não-Metálicos","Mica","965,700000",",000000000000000","-","","0","0",",000000",",000000","965,700000","308924,000000"
"2010","CE","Não-Metálicos","Gipsita","81532,390000",",000000000000000","-","","81532,389999999999","2083199,3400000001",",000000",",000000",",000000",",000000"
"2010","CE","Não-Metálicos","Saibro","44760,700000",",000000000000000","-","","35136,699999999997","88539,369999999995",",000000",",000000","9624,000000","15975,840000"
"2010","CE","Não-Metálicos","Dolomito e Magnesita","90256,030000",",000000000000000","-","","87866,029999999999","1689148,03",",000000",",000000",",000000",",000000"
"2010","DF","Não-Metálicos","Rochas (Britadas) e Cascalho","590274,140000",",000000000000000","-","","17918,129999999997","168850,45000000001",",000000",",000000",",000000",",000000"
"2010","DF","Não-Metálicos","Argilas","232516,260000",",000000000000000","-","","0","0","109156,180000","583474,360000","123360,080000","1538342,030000"
"2010","DF","Não-Metálicos","Calcário","5415701,640000",",000000000000000","-","","0","0",",000000",",000000","357775,370000","15498844,240000"
"2010","DF","Não-Metálicos","Areias Industriais",",000000",",000000000000000","-","","0","0",",000000",",000000",",000000",",000000"
"2010","DF","Não-Metálicos","Areia","399865,000000",",000000000000000","-","","381659,22999999998","7440792,4700000007",",000000",",000000",",000000",",000000"
"2010","ES","Não-Metálicos","Calcário","2217975,529400",",000000000000000","-","","1855350,3384000002","30276441,502399996",",000000",",000000","106438,810000","971072,390000"
"2010","ES","Não-Metálicos","Areia","1198993,130000",",000000000000000","-","","1180236,6499999999","15386363,639999999","828,000000","34706,000000","5540,200000","97717,840000"
